,"昌化路1223621,3627,3628","昌化路302-3628,-3627,-3621","曲阜路112585,2586","曲阜路191-2586,-2585","武定路264779,4780,4794,4796,4797","西藏中路294-444,-443,-441,-440,-439","武定路206-4797,-4796,-4794,-4780,-4779","恒丰路296-205,-207,-208,-209,-210","恒丰路116210,209,208,207,205","西藏中路114439,440,441,443,444","新闸路203-3413,-3405,-3402,-3394,-3393","新闸路233393,3394,3402,3405,3413","大统路273-2224,-4849","中潭路1153632,3633","中潭路295-3633,-3632","海防路263384,3388","海防路206-3388,-3384","昌平路253568,4805","昌平路206-4805,-3568","福建中路293-4895,-3848,-3847","天目东路212114,2113","天目东路200-2113,-2114","会文路1274995,4221","会文路307-4221,-4995","长寿路218-479,-480,-481,-4412,-3346,-483,-484","天目西路183-1116,-194,-193,-192,-191","宝山路871718,1714,1713,1711","河南北路292-910,-909,-4494,-908","河南北路112908,4494,909,910","宝山路267-1711,-1713,-1714,-1718","虬江路202-3940,-3938,-3936,-3935","浙江北路286-3780,-3779,-3778,-3777","天目中路12196,197,4646,199","河南中路106903,904,906,2042","长寿路38484,483,3346,4412,481,480,479","浙江北路1083777,3778,3779,3780","恒通路210-6085,-6084,-6083,-6082","宜昌路209-3638,-3636,-4808","天目西路3191,192,193,194,1116","恒通路306082,6083,6084,6085","虬江路153935,3936,3938,3940","安远路205-4792,-4580,-4374,-3579","海宁路22638,639,640,641,4483,642,643"
0,30,25,30,30,30,35,30,35,40,40,35,35,30,30,30,35,25,35,35,30,30,36,25,30,35,36,35,36,40,35,31,30,35,40,40,30,41,30,40,35,30,30,45
1,30,25,30,30,30,35,30,35,40,40,35,35,30,30,30,35,25,35,35,30,30,36,25,30,35,36,35,36,40,35,31,30,35,40,40,30,41,30,40,35,30,30,45
2,30,25,30,30,30,35,30,40,40,40,35,35,30,30,30,35,25,35,30,30,25,36,25,30,40,36,30,41,40,35,25,25,35,40,40,30,36,30,40,35,30,30,45
3,30,25,30,35,30,40,30,40,40,40,35,35,25,30,30,35,25,35,30,30,25,36,25,30,40,36,30,41,40,35,25,25,35,40,40,30,36,30,40,35,30,30,45
4,30,35,30,35,30,40,30,35,40,40,35,35,25,30,35,35,25,35,35,30,35,36,30,30,40,36,35,36,46,35,25,25,30,40,40,30,30,30,40,35,30,30,45
5,30,35,30,35,30,40,30,35,40,40,35,35,25,30,35,35,25,35,35,30,35,36,30,30,40,36,35,36,46,35,25,25,30,40,40,30,30,30,40,35,30,30,45
6,30,35,30,35,25,40,30,35,40,35,35,35,30,30,35,30,25,30,35,30,35,36,30,30,35,36,35,36,40,35,25,25,35,40,40,30,30,30,40,30,30,25,45
7,30,35,30,35,25,40,30,35,40,35,35,35,30,30,35,30,25,30,35,30,35,36,30,30,35,36,35,36,40,35,25,25,35,40,40,30,30,30,40,30,30,25,45
8,30,30,30,35,30,40,30,35,40,35,35,35,30,30,35,30,25,30,35,30,30,40,25,30,35,36,35,36,40,35,25,25,35,40,40,30,30,25,40,30,30,25,45
9,30,30,41,35,30,40,30,35,40,40,35,35,30,30,35,30,25,30,35,30,30,40,25,30,40,36,35,36,40,35,25,25,35,40,40,30,30,25,40,30,30,25,45
